Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_resnet152v2.onnx,resnet152v2
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Relu,0,0,0,65536,0,0,262144,0,0
Pad,0,0,0,0,0,0,0,0,69632
Conv,301989888.0,150994944.0,0,0,0,0,262144,2359296.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Conv,134217728.0,67108864.0,0,0,0,0,1048576,1052672.0,0
Add,0,0,262144,0,0,0,0,0,0
BatchNormalization,0,0,262144,0,262144,0,1048576,8192,0
Relu,0,0,0,262144,0,0,1048576,0,0
Conv,134217728.0,67108864.0,0,0,0,0,262144,1048576.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Pad,0,0,0,0,0,0,0,0,69632
Conv,301989888.0,150994944.0,0,0,0,0,262144,2359296.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Conv,134217728.0,67108864.0,0,0,0,0,1048576,1052672.0,0
Add,0,0,262144,0,0,0,0,0,0
BatchNormalization,0,0,262144,0,262144,0,1048576,8192,0
Relu,0,0,0,262144,0,0,1048576,0,0
Conv,134217728.0,67108864.0,0,0,0,0,262144,1048576.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Pad,0,0,0,0,0,0,0,0,69632
Conv,301989888.0,150994944.0,0,0,0,0,262144,2359296.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Conv,134217728.0,67108864.0,0,0,0,0,1048576,1052672.0,0
Add,0,0,262144,0,0,0,0,0,0
BatchNormalization,0,0,262144,0,262144,0,1048576,8192,0
Relu,0,0,0,262144,0,0,1048576,0,0
Conv,134217728.0,67108864.0,0,0,0,0,262144,1048576.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Pad,0,0,0,0,0,0,0,0,69632
Conv,301989888.0,150994944.0,0,0,0,0,262144,2359296.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Conv,134217728.0,67108864.0,0,0,0,0,1048576,1052672.0,0
Add,0,0,262144,0,0,0,0,0,0
BatchNormalization,0,0,262144,0,262144,0,1048576,8192,0
Relu,0,0,0,262144,0,0,1048576,0,0
Conv,134217728.0,67108864.0,0,0,0,0,262144,1048576.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Pad,0,0,0,0,0,0,0,0,69632
Conv,301989888.0,150994944.0,0,0,0,0,262144,2359296.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Conv,134217728.0,67108864.0,0,0,0,0,1048576,1052672.0,0
